,Sequence,Subpopulation,PlantHeight,Yield
375,322344242,Aus,154.8842105263158,37.374736842105264
376,322344242,Aus,154.8842105263158,37.374736842105264
377,322344242,Aus,154.8842105263158,37.374736842105264
378,322344242,Aus,154.8842105263158,37.374736842105264
379,322344242,Aus,154.8842105263158,37.374736842105264
380,322344242,Aus,154.8842105263158,37.374736842105264
381,322344242,Aus,154.8842105263158,37.374736842105264
382,322344242,Aus,154.8842105263158,37.374736842105264
383,322344242,Aus,154.8842105263158,37.374736842105264
384,322344242,Aus,154.8842105263158,37.374736842105264
385,322344242,Aus,154.8842105263158,37.374736842105264
386,322344242,Aus,154.8842105263158,37.374736842105264
387,322344242,Aus,154.8842105263158,37.374736842105264
388,322344242,Aus,154.8842105263158,37.374736842105264
389,322344242,Aus,154.8842105263158,37.374736842105264
390,322344242,Aus,154.8842105263158,37.374736842105264
391,322444244,Aus,157.60000000000002,34.195
392,322444244,Aus,157.60000000000002,34.195
393,324444244,Indica III,176.265,30.61
394,324444244,Indica III,176.265,30.61
395,322444242,Aus,154.4946153846154,38.43769230769231
396,322444242,Aus,154.4946153846154,38.43769230769231
397,322444242,Aus,154.4946153846154,38.43769230769231
398,322444242,Aus,154.4946153846154,38.43769230769231
399,322444242,Aus,154.4946153846154,38.43769230769231
400,322444242,Aus,154.4946153846154,38.43769230769231
401,322444242,Aus,154.4946153846154,38.43769230769231
402,322444242,Aus,154.4946153846154,38.43769230769231
403,322444242,Aus,154.4946153846154,38.43769230769231
404,322444242,Aus,154.4946153846154,38.43769230769231
405,322444242,Aus,154.4946153846154,38.43769230769231
406,322444242,Aus,154.4946153846154,38.43769230769231
407,322444242,Aus,154.4946153846154,38.43769230769231
408,322341442,Indica I,148.68200000000002,17.168
409,322341442,Indica I,148.68200000000002,17.168
410,322341442,Indica I,148.68200000000002,17.168
411,322341442,Indica I,148.68200000000002,17.168
412,322341442,Indica I,148.68200000000002,17.168
413,322441442,Indica I,165.01857142857142,32.745714285714286
414,322441442,Indica I,165.01857142857142,32.745714285714286
415,322441442,Indica I,165.01857142857142,32.745714285714286
416,322441442,Indica I,165.01857142857142,32.745714285714286
417,322441442,Indica I,165.01857142857142,32.745714285714286
418,322441442,Indica I,165.01857142857142,32.745714285714286
419,322441442,Indica I,165.01857142857142,32.745714285714286
420,342444442,Indica I,148.4,56.42
421,322444442,Indica I,167.38105263157894,26.757368421052632
422,322444442,Indica I,167.38105263157894,26.757368421052632
423,322444442,Indica I,167.38105263157894,26.757368421052632
424,322444442,Indica I,167.38105263157894,26.757368421052632
425,322444442,Indica I,167.38105263157894,26.757368421052632
426,322444442,Indica I,167.38105263157894,26.757368421052632
427,322444442,Indica I,167.38105263157894,26.757368421052632
428,322444442,Indica I,167.38105263157894,26.757368421052632
429,322444442,Indica I,167.38105263157894,26.757368421052632
430,322444442,Indica I,167.38105263157894,26.757368421052632
431,322444442,Indica I,167.38105263157894,26.757368421052632
432,322444442,Indica I,167.38105263157894,26.757368421052632
433,322444442,Indica I,167.38105263157894,26.757368421052632
434,322444442,Indica I,167.38105263157894,26.757368421052632
435,322444442,Indica I,167.38105263157894,26.757368421052632
436,322444442,Indica I,167.38105263157894,26.757368421052632
437,322444442,Indica I,167.38105263157894,26.757368421052632
438,322444442,Indica I,167.38105263157894,26.757368421052632
439,322444442,Indica I,167.38105263157894,26.757368421052632
440,322441444,Indica I,157.0228571428571,32.29142857142857
441,322441444,Indica I,157.0228571428571,32.29142857142857
442,322441444,Indica I,157.0228571428571,32.29142857142857
443,322441444,Indica I,157.0228571428571,32.29142857142857
444,322441444,Indica I,157.0228571428571,32.29142857142857
445,322441444,Indica I,157.0228571428571,32.29142857142857
446,322441444,Indica I,157.0228571428571,32.29142857142857
447,322444444,Indica I,171.35454545454544,24.03454545454545
448,322444444,Indica I,171.35454545454544,24.03454545454545
449,322444444,Indica I,171.35454545454544,24.03454545454545
450,322444444,Indica I,171.35454545454544,24.03454545454545
451,322444444,Indica I,171.35454545454544,24.03454545454545
452,322444444,Indica I,171.35454545454544,24.03454545454545
